Student_ID,Age,Gender,Study_Hours_Per_Day,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Usage_Hours,Sleep_Hours,Extra_Curricular,Family_Income,Teacher_Rating,Performance_Level
1,22,Male,7.1,56.5,8,34.5,7.9,9.2,No,Low,3.6,Medium
2,19,Female,4.9,90.3,12,36.2,7.1,5.0,Yes,High,1.9,Medium
3,23,Male,4.6,76.3,14,98.3,6.5,6.2,No,High,3.2,High
4,20,Female,2.3,98.9,14,30.4,3.3,8.5,Yes,Medium,1.7,Medium
5,22,Male,4.1,82.0,0,78.3,6.4,9.2,Yes,Medium,3.6,Medium
6,18,Male,9.9,58.1,4,92.1,6.1,9.5,Yes,Medium,4.1,Excellent
7,22,Female,3.1,90.8,14,57.6,1.2,8.7,Yes,Medium,1.8,High
8,23,Female,7.7,83.6,13,79.6,2.8,7.6,No,High,1.2,Excellent
9,20,Female,1.1,57.4,5,54.4,10.9,6.1,Yes,Low,1.0,Low
10,19,Female,4.9,50.4,5,67.0,9.7,6.9,No,Medium,4.9,Medium
11,23,Female,1.1,77.2,19,95.5,2.3,4.0,Yes,High,1.9,High
12,23,Male,5.0,62.1,4,33.0,11.7,6.1,No,Medium,3.3,Medium
13,18,Male,0.8,93.4,8,48.7,6.1,8.4,No,Medium,2.1,Medium
14,21,Female,6.3,62.5,19,37.4,9.3,7.9,No,Medium,3.0,High
15,20,Male,6.1,83.1,19,64.7,7.0,4.0,Yes,High,1.5,High
16,17,Male,8.1,67.3,6,83.9,9.4,7.3,Yes,High,2.9,High
17,23,Female,6.0,67.5,15,98.4,8.3,4.0,No,Medium,4.8,Excellent
18,21,Female,9.3,59.1,16,40.9,1.7,6.2,Yes,Medium,4.8,Excellent
19,17,Female,7.9,75.1,7,33.1,11.0,9.9,Yes,High,2.7,Medium
20,20,Male,1.8,79.0,17,39.7,9.5,6.5,Yes,Medium,3.6,Medium
21,16,Female,3.0,79.1,19,97.8,3.4,9.4,No,Medium,3.6,Excellent
22,21,Male,0.7,92.8,12,52.4,3.5,4.1,Yes,Low,3.6,Medium
23,24,Female,4.2,82.6,13,48.7,8.6,8.3,No,Medium,3.1,Medium
24,16,Female,5.3,87.0,3,81.5,8.7,6.7,Yes,Low,2.7,High
25,18,Female,9.5,66.2,9,38.4,2.0,7.3,Yes,Medium,1.7,High
26,22,Female,5.5,71.0,9,54.4,11.0,10.0,No,Low,3.3,Medium
27,19,Male,7.9,50.9,5,40.1,9.2,5.8,No,High,1.1,Medium
28,24,Male,3.0,54.0,6,98.2,11.8,9.2,Yes,Medium,4.7,Medium
29,18,Male,2.0,69.3,6,50.0,5.8,9.5,Yes,Low,4.8,Medium
30,20,Female,8.2,60.5,3,48.8,1.9,5.8,Yes,Medium,4.8,High
31,18,Male,2.9,90.6,18,74.4,11.0,4.3,Yes,Medium,1.3,High
32,22,Male,8.8,83.8,19,31.2,9.9,8.7,Yes,Medium,2.5,High
33,20,Male,2.1,98.5,8,75.7,1.0,9.6,No,High,3.8,High
34,24,Female,8.6,94.4,18,61.8,6.8,6.9,Yes,Medium,1.9,Excellent
35,22,Male,7.8,98.9,15,42.9,1.1,9.2,Yes,Low,4.2,Excellent
36,17,Female,6.3,68.3,2,64.0,4.9,5.3,No,Low,1.9,Medium
37,19,Female,8.6,74.2,4,99.9,10.6,8.5,Yes,Low,1.2,High
38,24,Male,3.6,68.6,4,88.7,8.4,8.2,Yes,Medium,2.3,Medium
39,17,Male,2.1,98.2,5,98.2,10.4,7.2,No,Medium,2.6,Medium
40,24,Female,2.0,70.1,8,94.8,7.1,5.9,No,Low,2.0,Medium
41,20,Female,3.1,55.8,8,87.4,9.5,5.5,No,Medium,3.1,Medium
42,17,Female,4.7,62.5,11,53.4,6.3,8.3,Yes,Medium,2.9,Medium
43,19,Male,8.8,71.2,15,81.1,6.5,7.4,Yes,Medium,5.0,Excellent
44,22,Female,1.4,80.1,15,57.4,7.6,9.2,Yes,High,4.6,Medium
45,23,Female,9.2,80.9,4,60.1,2.5,8.9,No,High,4.5,Excellent
46,18,Female,9.3,87.9,0,91.1,8.1,5.1,Yes,Medium,1.3,High
47,16,Male,7.4,82.4,2,44.4,10.4,5.3,Yes,Low,2.3,Medium
48,19,Female,9.1,74.6,5,50.8,2.8,9.7,Yes,High,2.7,High
49,17,Female,7.8,51.5,7,95.1,5.1,6.3,No,Medium,3.8,High
50,23,Female,5.5,84.8,15,79.0,11.1,7.3,No,Medium,4.8,High
51,19,Female,6.2,54.3,5,34.5,4.4,6.5,No,Low,4.5,Medium
52,17,Female,6.5,73.4,13,38.5,10.6,7.4,Yes,Medium,2.7,High
53,21,Male,1.7,94.8,9,70.6,8.1,8.1,No,High,1.0,Medium
54,21,Male,2.3,79.8,3,85.9,10.3,6.2,Yes,Low,3.8,Medium
55,19,Female,5.5,59.9,11,85.5,2.6,6.0,No,Low,4.1,High
56,21,Female,1.6,90.4,6,59.7,9.7,9.1,Yes,Low,4.6,Medium
57,17,Female,9.7,65.0,6,48.1,1.3,7.7,Yes,Medium,1.3,High
58,17,Female,5.3,78.9,15,85.1,5.3,9.1,No,Medium,4.1,Excellent
59,19,Female,4.1,81.8,0,96.1,4.1,9.2,No,High,2.1,High
60,23,Female,2.0,86.6,15,61.1,8.1,5.0,Yes,Medium,4.6,High
61,22,Male,4.5,53.2,2,39.6,9.4,8.8,No,Medium,3.2,Low
62,24,Female,3.4,92.7,14,72.7,4.8,9.4,No,Medium,2.0,High
